unit,isced11,indic_wb,sex,age,time\geo	EU 	EU28 	BE 	BG 	CZ 	DK 	DE 	EE 	IE 	EL 	ES 	FR 	HR 	IT 	CY 	LV 	LT 	LU 	HU 	MT 	NL 	AT 	PL 	PT 	RO 	SI 	SK 	FI 	SE 	UK 	IS 	NO 	CH 	RS 	TR 
RTG,TOTAL,OTHTST,M,Y25-34,2013	5.8 	5.8 	5.6 	4.5 	5.4 	8.0 	5.3 	5.8 	6.0 	5.3 	6.4 	4.9 	4.9 	5.7 	4.3 	6.4 	6.1 	5.5 	5.4 	6.0 	6.9 	5.8 	5.9 	5.5 	6.4 	6.3 	5.7 	7.5 	6.7 	5.6 	6.4 	6.9 	6.0 	4.2 	4.5 
RTG,TOTAL,OTHTST,M,Y35-49,2013	5.7 	5.7 	5.8 	4.2 	5.2 	8.2 	5.3 	5.6 	6.3 	5.2 	6.1 	5.1 	5.1 	5.6 	4.3 	6.2 	6.0 	5.3 	5.1 	6.0 	6.8 	5.7 	5.9 	5.4 	6.4 	6.5 	5.6 	7.3 	6.9 	5.7 	6.9 	7.2 	6.3 	4.0 	4.4 
RTG,TOTAL,OTHTST,M,Y50-64,2013	5.7 	5.7 	5.6 	4.2 	5.1 	8.1 	5.3 	5.5 	6.3 	5.1 	6.2 	5.0 	5.1 	5.6 	4.3 	6.3 	5.8 	5.5 	5.1 	6.1 	6.9 	5.9 	5.8 	5.3 	6.3 	6.5 	5.4 	7.2 	6.9 	6.0 	6.9 	7.4 	6.5 	4.0 	4.6 
RTG,TOTAL,OTHTST,M,Y65-74,2013	5.9 	5.9 	5.8 	4.1 	5.1 	8.3 	5.9 	5.7 	6.7 	5.1 	6.2 	5.1 	4.9 	5.7 	4.5 	6.5 	6.1 	5.7 	5.1 	6.6 	7.0 	6.0 	5.9 	5.4 	6.1 	6.6 	5.6 	7.3 	6.9 	6.5 	7.4 	7.4 	6.7 	4.1 	4.8 
RTG,TOTAL,OTHTST,M,Y_GE16,2013	5.8 	5.8 	5.8 	4.2 	5.3 	8.2 	5.5 	5.7 	6.3 	5.2 	6.3 	5.0 	5.1 	5.7 	4.4 	6.4 	6.0 	5.5 	5.2 	6.2 	6.9 	5.8 	5.9 	5.5 	6.4 	6.5 	5.7 	7.3 	6.8 	6.0 	6.9 	7.2 	6.3 	4.2 	4.6 
RTG,TOTAL,OTHTST,M,Y_GE75,2013	6.0 	6.0 	5.9 	3.9 	5.2 	8.1 	6.2 	5.7 	6.9 	5.0 	6.3 	5.2 	5.2 	5.6 	4.7 	6.5 	5.9 	5.9 	5.6 	6.7 	6.9 	5.8 	5.8 	5.5 	6.2 	6.6 	5.7 	7.6 	7.0 	6.8 	7.7 	7.4 	6.9 	4.4 	5.1 
RTG,TOTAL,OTHTST,T,Y16-24,2013	6.0 	6.0 	5.9 	4.7 	6.0 	8.2 	5.4 	6.0 	5.9 	5.9 	6.7 	4.7 	5.6 	6.0 	4.6 	6.9 	6.7 	5.8 	5.7 	5.7 	6.9 	6.0 	6.4 	6.0 	7.0 	6.7 	6.2 	7.5 	6.8 	5.7 	6.8 	6.9 	5.9 	4.8 	4.4 
RTG,TOTAL,OTHTST,T,Y25-34,2013	5.8 	5.8 	5.6 	4.4 	5.4 	8.2 	5.3 	6.0 	6.1 	5.6 	6.4 	5.0 	5.2 	5.7 	4.4 	6.5 	6.1 	5.5 	5.3 	6.0 	6.9 	5.9 	6.0 	5.4 	6.5 	6.4 	5.9 	7.6 	6.7 	5.7 	6.8 	7.0 	6.1 	4.3 	4.4 
RTG,TOTAL,OTHTST,T,Y35-49,2013	5.8 	5.8 	5.7 	4.2 	5.3 	8.3 	5.3 	5.7 	6.3 	5.3 	6.2 	4.9 	5.1 	5.7 	4.4 	6.3 	6.1 	5.3 	5.2 	6.0 	6.8 	5.7 	5.9 	5.3 	6.4 	6.5 	5.7 	7.5 	6.9 	5.9 	7.0 	7.3 	6.3 	4.0 	4.4 
RTG,TOTAL,OTHTST,T,Y50-64,2013	5.7 	5.7 	5.7 	4.2 	5.1 	8.3 	5.4 	5.7 	6.4 	5.2 	6.2 	5.0 	5.1 	5.7 	4.4 	6.4 	5.9 	5.5 	5.2 	6.1 	6.9 	5.9 	5.8 	5.1 	6.2 	6.5 	5.5 	7.3 	6.9 	6.1 	7.0 	7.5 	6.5 	4.1 	4.6 
